ibgeID;reg
3536257;RA - São José do Rio Preto
3536307;RA - Franca
3536406;RA - Presidente Prudente
3536505;RA - Campinas
3536570;RA - Bauru
3536604;RA - São José do Rio Preto
3536703;RA - Bauru
3536802;RA - Campinas
3536901;RA - São José do Rio Preto
3537008;RA - Franca
3537107;RA - Campinas
3537156;RA - Marília
3537206;RA - Registro
3537305;RA - Araçatuba
3537404;RA - Araçatuba
3537503;RA - Sorocaba
3537602;RA - Santos
3537701;RA - Araçatuba
3537800;RA - Sorocaba
3537909;RA - Sorocaba
3538006;RA - São José dos Campos
3538105;RA - São José do Rio Preto
3538204;RA - Campinas
3538303;RA - Presidente Prudente
3538501;RA - São José dos Campos
3538600;RA - Campinas
3538709;RA - Campinas
3538808;RA - Itapeva
3538907;RA - Bauru
3539004;RA - Barretos
3539103;RM - São Paulo
3539202;RA - Presidente Prudente
3539301;RA - Campinas
3539400;RA - Bauru
3539509;RA - Ribeirão Preto
3539608;RA - São José do Rio Preto
3539707;RA - Marília
3539806;RM - São Paulo
3539905;RA - São José do Rio Preto
3540002;RA - Marília
3540101;RA - Bauru
3540200;RA - Ribeirão Preto
3540259;RA - São José do Rio Preto
3540309;RA - São José do Rio Preto
3540408;RA - São José do Rio Preto
3540507;RA - Sorocaba
3540606;RA - Sorocaba
3540705;RA - Central
3540754;RA - São José dos Campos
3540804;RA - São José do Rio Preto
3540853;RA - Presidente Prudente
3540903;RA - Ribeirão Preto
3541000;RA - Santos
3541059;RA - Sorocaba
3541109;RA - Bauru
3541208;RA - Presidente Prudente
3541307;RA - Presidente Prudente
3541406;RA - Presidente Prudente
3541505;RA - Presidente Prudente
3541604;RA - Bauru
3541653;RA - Sorocaba
3541703;RA - Marília
3541802;RA - Marília
3541901;RA - São José dos Campos
3542008;RA - Marília
3542107;RA - Campinas
3542206;RA - Presidente Prudente
3542305;RA - São José dos Campos
3542404;RA - Presidente Prudente
3542503;RA - Bauru
3542602;RA - Registro
3542701;RA - Franca
3542800;RA - Itapeva
3542909;RA - Central
3543006;RA - Itapeva
3543105;RA - Franca
3543204;RA - Marília
3543238;RA - Presidente Prudente
3543253;RA - Itapeva
3543303;RM - São Paulo
3543402;RA - Ribeirão Preto
3543501;RA - Itapeva
3543600;RA - Franca
3543709;RA - Central
3543808;RA - Marília
3543907;RA - Campinas
3544004;RA - Campinas
3544103;RM - São Paulo
3544202;RA - São José do Rio Preto
3544251;RA - Presidente Prudente
3544301;RA - São José dos Campos
3544400;RA - Araçatuba
3544509;RA - São José do Rio Preto
3544608;RA - Bauru
3544707;RA - Presidente Prudente
3544806;RA - São José do Rio Preto
3544905;RA - Franca
3545001;RM - São Paulo
3545100;RA - Presidente Prudente
3545159;RA - Campinas
3545209;RA - Sorocaba
3545308;RA - Sorocaba
3545407;RA - Marília
3545506;RA - Presidente Prudente
3545605;RA - São José do Rio Preto
3545704;RA - São José do Rio Preto
3545803;RA - Campinas
3546009;RA - São José dos Campos
3546108;RA - São José do Rio Preto
3546207;RA - Campinas
3546256;RA - Ribeirão Preto
3546306;RA - Campinas
3546405;RA - Marília
3546504;RA - Central
3546603;RA - São José do Rio Preto
3546702;RA - Campinas
3546801;RM - São Paulo
3546900;RA - Central
3547007;RA - Campinas
3547106;RA - Presidente Prudente
3547205;RA - São José do Rio Preto
3547304;RM - São Paulo
3547403;RA - São José do Rio Preto
3547502;RA - Central
3547601;RA - Ribeirão Preto
3547650;RA - São José do Rio Preto
3547700;RA - Presidente Prudente
3547809;RM - São Paulo
3547908;RA - Ribeirão Preto
3548005;RA - Campinas
3548054;RA - Araçatuba
3548104;RA - Campinas
3548203;RA - São José dos Campos
3548302;RA - Presidente Prudente
3548401;RA - Araçatuba
3548500;RA - Santos
3548609;RA - São José dos Campos
3548708;RM - São Paulo
3548807;RM - São Paulo
3548906;RA - Central
3549003;RA - São José do Rio Preto
3549102;RA - Campinas
3549201;RA - São José do Rio Preto
3549250;RA - Araçatuba
3549300;RA - Presidente Prudente
3549409;RA - Franca
3549508;RA - Franca
3549607;RA - São José dos Campos
3549706;RA - Campinas
3549805;RA - São José do Rio Preto
3549904;RA - São José dos Campos
3549953;RM - São Paulo
3550001;RA - São José dos Campos
3550100;RA - Sorocaba
3550209;RA - Sorocaba
3550308;RM - São Paulo
3550407;RA - Campinas
3550506;RA - Marília
3550605;RA - Sorocaba
3550704;RA - São José dos Campos
3550803;RA - Campinas
3550902;RA - Ribeirão Preto
3551009;RA - Santos
3551108;RA - Sorocaba
3551207;RA - Itapeva
3551306;RA - São José do Rio Preto
3551405;RA - Ribeirão Preto
3551504;RA - Ribeirão Preto
3551603;RA - Campinas
3551702;RA - Ribeirão Preto
3551801;RA - Registro
3551900;RA - Barretos
3552007;RA - São José dos Campos
3552106;RA - Campinas
3552205;RA - Sorocaba
3552304;RA - Araçatuba
3552403;RA - Campinas
3552502;RM - São Paulo
3552551;RA - Araçatuba
3552601;RA - São José do Rio Preto
3552700;RA - Central
3552809;RM - São Paulo
3552908;RA - Presidente Prudente
3553005;RA - Itapeva
3553104;RA - Barretos
3553203;RA - Barretos
3553302;RA - Campinas
3553401;RA - São José do Rio Preto
3553500;RA - Sorocaba
3553609;RA - Campinas
3553658;RA - Ribeirão Preto
3553708;RA - Central
3553807;RA - Itapeva
3553856;RA - Itapeva
3553906;RA - Presidente Prudente
3553955;RA - Marília
3554003;RA - Sorocaba
3554102;RA - São José dos Campos
3554201;RA - Itapeva
3554300;RA - Presidente Prudente
3554409;RA - Barretos
3554508;RA - Sorocaba
3554607;RA - Marília
3554656;RA - Sorocaba
3554706;RA - Campinas
3554755;RA - Central
3554805;RA - São José dos Campos
3554904;RA - São José do Rio Preto
3554953;RA - Campinas
3555000;RA - Marília
3555109;RA - Presidente Prudente
3555208;RA - Araçatuba
3555307;RA - São José do Rio Preto
3555356;RA - São José do Rio Preto
3555406;RA - São José dos Campos
3555505;RA - Bauru
3555604;RA - São José do Rio Preto
3555703;RA - São José do Rio Preto
3555802;RA - São José do Rio Preto
3555901;RA - Bauru
3556008;RA - São José do Rio Preto
3556107;RA - São José do Rio Preto
3556206;RA - Campinas
3556305;RA - Araçatuba
3556354;RA - Campinas
3556404;RA - Campinas
3556453;RM - São Paulo
3556503;RA - Campinas
3556602;RA - Marília
3556701;RA - Campinas
3556800;RA - Barretos
3556909;RA - Barretos
3556958;RA - São José do Rio Preto
3557006;RA - Sorocaba
3557105;RA - São José do Rio Preto
3557154;RA - São José do Rio Preto
3557204;RA - Marília
3557303;RA - Campinas
35;CASO SEM LOCALIZAÇÃO DEFINIDA/SP
